price;product;quantitytoorder2p;region;skucode;skuname;url;title;ahprice;portiegrote;ahsku
0.47;ontbijt-box;1;NL;PHF-11-41213-4;Alfalfa (40g);https://www.ah.nl/producten/product/wi365468/ah-sojabonen-koelvers;AH Sojabonen (koelvers);2,69;200 Gram;832214
0.47;ontbijt-box;1;NL;PHF-11-41213-4;Alfalfa (40g);https://www.ah.nl/producten/product/wi111784/ah-alfalfa;AH Alfalfa;1,00;40 Gram;563900
0.47;ontbijt-box;1;NL;PHF-11-41213-4;Alfalfa (40g);https://www.ah.nl/producten/product/wi365474/ah-pittige-kiemgroente;AH Pittige kiemgroente;1,09;60 Gram;832220
0.28;ontbijt-box;1;NL;PHF-11-45051-4;Citroenmelisse (10g);;product not found;product not found;product not found;product not found
0.28;ontbijt-box;1;NL;PHF-11-45051-4;Citroenmelisse (10g);https://www.ah.nl/producten/product/wi183590/sleepzz-melatonine-en-citroenmelisse-forte;Sleepzz Melatonine en citroenmelisse forte;13,79;50 Stuk;821190
0.28;ontbijt-box;1;NL;PHF-11-45051-4;Citroenmelisse (10g);;product not found;product not found;product not found;product not found
0.65;ontbijt-box;1;NL;PHF-11-47901-4;Gedroogde abrikoosstukjes (100g);;product not found;product not found;product not found;product not found
0.65;ontbijt-box;1;NL;PHF-11-47901-4;Gedroogde abrikoosstukjes (100g);;product not found;product not found;product not found;product not found
0.65;ontbijt-box;1;NL;PHF-11-47901-4;Gedroogde abrikoosstukjes (100g);;product not found;product not found;product not found;product not found
0.46;ontbijt-box;1;NL;PRO-10-19010-4;Honing (28g);https://www.ah.nl/producten/product/wi128873/ah-gele-honingmeloen;AH Gele honingmeloen;2,69;1 Stuk;20836
0.46;ontbijt-box;1;NL;PRO-10-19010-4;Honing (28g);https://www.ah.nl/producten/product/wi410194/bloemenhoning-vloeibaar;Bloemenhoning vloeibaar;1,79;350 Gram;854625
0.46;ontbijt-box;1;NL;PRO-10-19010-4;Honing (28g);https://www.ah.nl/producten/product/wi55438/ah-schenkhoning;AH Schenkhoning;2,49;450 Gram;511498
0.17;ontbijt-box;4;NL;PRO-10-29001-4;Pindakaas (15g);https://www.ah.nl/producten/product/wi123432/ah-pindakaas-voordeel;AH Pindakaas voordeel;2,79;600 Gram;577585
0.17;ontbijt-box;4;NL;PRO-10-29001-4;Pindakaas (15g);https://www.ah.nl/producten/product/wi3579/calve-pindakaas-pot;Calvé Pindakaas pot;2,75;350 Gram;5359
0.17;ontbijt-box;4;NL;PRO-10-29001-4;Pindakaas (15g);https://www.ah.nl/producten/product/wi220739/calve-pindakaas-pot;Calvé Pindakaas pot;3,99;650 Gram;815481
1.39;ontbijt-box;1;NL;PRO-11-45091-4;Vruchtenspread appel & framboos (170g);;product not found;product not found;product not found;product not found
1.39;ontbijt-box;1;NL;PRO-11-45091-4;Vruchtenspread appel & framboos (170g);;product not found;product not found;product not found;product not found
1.39;ontbijt-box;1;NL;PRO-11-45091-4;Vruchtenspread appel & framboos (170g);;product not found;product not found;product not found;product not found
1.39;ontbijt-box;1;NL;PRO-11-45500-4;Vruchtenspread mango & ananas (170g);;product not found;product not found;product not found;product not found
